Date,S0_naive,S1_realfill,S2_realcost,S3_pit,PIT_BUY_HOLD,BENCHMARK_N100
2023-11-03,4548086.908986001,4217858.327770311,1933008.085542643,919262.784980587,4789159.884261001,3615205.6854477976
2023-11-06,4579188.074818521,4253654.104412157,1949393.839776957,920409.7113924323,4836443.653611129,3648766.2599843107
2023-11-07,4630540.971188455,4306132.908016283,1973502.1446551918,921161.257023841,4864273.14331033,3652123.072671469
2023-11-08,4689422.028065591,4343690.9155083485,1990742.3028277992,924432.5639602317,4894720.4887378765,3662111.952436614
2023-11-09,4705368.801175027,4361077.15792473,1998768.1715640663,928008.3606750144,4892840.424885278,3651551.0160287335
2023-11-10,4712351.828152566,4371567.844661791,2003551.057252848,927745.771983303,4904821.948756315,3657403.7953533176
2023-11-13,4748104.95007792,4400299.779384691,2016783.4417743324,931070.2698928489,4965354.500999343,3663145.9170662495
2023-11-15,4783227.162373452,4430614.961071093,2030649.792749369,935170.0025664939,5013653.810668362,3704997.6327599725
2023-11-16,4799361.424420266,4455905.061504442,2042245.3561648964,941246.0096007957,5042795.363872465,3722064.841057882
2023-11-17,4821076.699788003,4451058.312084276,2040016.8578509926,943272.7350722923,5056372.910171865,3719829.903879282
2023-11-20,4827507.574559121,4476890.827190477,2051957.9496478676,944092.9169875755,5040392.553329305,3711748.283690182
2023-11-21,4837840.117657571,4471817.702297289,2049594.6784000038,946133.4050170555,5047898.316260599,3725955.2379724504
2023-11-22,4860899.710133462,4497074.230434496,2061164.6509494423,945159.0948058738,5035602.314234845,3728268.6243711417
2023-11-23,4837908.322407632,4464255.115429003,2046184.1418246864,932741.4108153953,5043479.138946912,3728326.7255973816
2023-11-24,4851665.225239663,4465741.323940355,2046885.6964206337,933870.8316222801,5046286.203987179,3726921.452843552
2023-11-28,4952674.323994546,4544514.772167284,2082961.8694781899,950002.9365798606,5105742.185520309,3750642.3149854722
2023-11-29,4981257.740757852,4569017.789852221,2094214.986146891,955159.0446731223,5148017.852463486,3787812.593972121
2023-11-30,5031042.023205667,4630825.540828783,2122490.743265116,956530.3808623924,5175246.580400131,3799957.2522390415
2023-12-01,5080882.024075418,4675030.136531908,2142048.6704835976,959008.9748659452,5213159.3755595,3825970.978741748
2023-12-04,5186129.9966095975,4803169.792842943,2200697.733761796,985851.9861727079,5302625.530502981,3904646.192817778
2023-12-05,5302150.27026835,4903380.661266405,2246554.5045671547,1022023.3362016996,5334405.264476417,3940596.3909594803
2023-12-06,5319711.674275308,4906095.614223558,2247864.7090578163,1023192.2532015165,5370193.720068441,3964047.9199075857
2023-12-07,5337548.938092141,4921044.624843676,2254663.1117906654,1023916.5777178128,5383942.945928117,3964428.2169350483
2023-12-08,5297276.697003274,4897471.242580492,2243819.4522142494,1020836.2495622953,5374800.2476920495,3970191.4446763867
2023-12-11,5345111.069981485,4940600.865276415,2263496.8816118324,1029701.9723406156,5420898.491495161,3980395.997368431
